Database,Source,Selfloops,OneDirection,MaximiseEdges,StrictFilter,GeneCount,InputGeneCoverage,EdgeCount,Genes,JsonIndex
PPI,Human,false,true,false,true,10,3,11,"FPR1;S100A12;S100A8;S100A9",0
Pathways,Human,false,true,false,true,52,4,96,"FPR1;S100A12;S100A8;S100A9",1
Combo,Human,false,true,false,true,40,4,74,"FPR1;S100A12;S100A8;S100A9",2
PPI,Human,false,true,false,false,6,4,6,"FPR1;S100A12;S100A8;S100A9",3
PTM,Human,false,true,false,false,6,3,6,"FPR1;S100A12;S100A8;S100A9",4
Pathways,Human,false,true,false,false,59,4,113,"FPR1;S100A12;S100A8;S100A9",5
Combo,Human,false,true,false,false,29,4,55,"FPR1;S100A12;S100A8;S100A9",6
PPI,Human,false,false,false,true,10,3,11,"FPR1;S100A12;S100A8;S100A9",7
Pathways,Human,false,false,false,true,53,4,98,"FPR1;S100A12;S100A8;S100A9",8
Combo,Human,false,false,false,true,41,4,76,"FPR1;S100A12;S100A8;S100A9",9
PPI,Human,false,false,false,false,23,4,41,"FPR1;S100A12;S100A8;S100A9",10
PTM,Human,false,false,false,false,21,3,28,"FPR1;S100A12;S100A8;S100A9",11
Pathways,Human,false,false,false,false,60,4,115,"FPR1;S100A12;S100A8;S100A9",12
Combo,Human,false,false,false,false,60,4,143,"FPR1;S100A12;S100A8;S100A9",13
