Database,Source,Selfloops,OneDirection,MaximiseEdges,StrictFilter,GeneCount,InputGeneCoverage,EdgeCount,Genes,JsonIndex
PPI,Human,false,true,false,true,51,5,83,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",0
PTM,Human,false,true,false,true,7,2,6,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",1
Pathways,Human,false,true,false,true,139,8,353,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",2
Combo,Human,false,true,false,true,156,9,437,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",3
PPI,Human,false,true,false,false,71,5,144,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",4
PTM,Human,false,true,false,false,42,6,73,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",5
Pathways,Human,false,true,false,false,178,9,492,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",6
PPI,Human,false,false,false,true,67,5,112,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",7
PTM,Human,false,false,false,true,7,2,6,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",8
Pathways,Human,false,false,false,true,167,8,475,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",9
Combo,Human,false,false,false,true,180,9,576,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",10
PPI,Human,false,false,false,false,96,5,205,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",11
PTM,Human,false,false,false,false,45,6,83,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",12
Pathways,Human,false,false,false,false,201,9,618,"ALS2;CCNL1;CDKN1A;EIF1;GTF2H1;H3-3B;MMRN1;NDUFB9;PLAG1;RGS1;RGS2;TBCK;UBC",13
