"","Gene","CRISPR_RNAseq","Human_RNAseq"
"1","ABCC3","down","down"
"2","ADAM19","down","down"
"4","ALOX5AP","down","down"
"5","ANK1","down","down"
"6","ANKRD9","down","down"
"7","APBA2","down","down"
"8","APOC1","down","down"
"9","AQP3","down","down"
"10","AQP9","down","down"
"11","ARG1","down","down"
"12","ARHGEF10L","down","down"
"13","ARSG","down","down"
"14","BPI","down","down"
"15","BTBD6","down","down"
"16","BTG1","down","down"
"17","C1QB","down","down"
"18","C1QC","down","down"
"19","C5AR1","down","down"
"20","CA2","down","down"
"21","CAMP","down","down"
"22","CCL5","down","down"
"23","CCNA1","up","up"
"24","CCR4","down","down"
"25","CCR6","down","down"
"26","CD14","down","down"
"27","CD1C","down","down"
"28","CD24","down","down"
"29","CDA","down","down"
"30","CDC42EP4","down","down"
"31","CDKN1A","down","down"
"32","CDKN2D","down","down"
"34","CLC","down","down"
"35","CLEC4A","down","down"
"37","CR1","down","down"
"39","CSTA","down","down"
"41","CXCL16","down","down"
"42","DMTN","down","down"
"43","DOK2","down","down"
"44","DYSF","down","down"
"45","ECE1","down","down"
"46","EPOR","down","down"
"48","FCER1G","down","down"
"49","FCGR2A","down","down"
"50","FCGR3A","down","down"
"51","FCN1","down","down"
"52","FGR","down","down"
"53","FOLR3","down","down"
"54","FPR1","down","down"
"56","GATA1","down","down"
"58","GBAP1","up","up"
"59","GOLGA8R","up","up"
"60","GPX3","down","down"
"61","GYPB","down","down"
"62","GZMB","down","down"
"63","HBA1","down","down"
"64","HBB","down","down"
"65","HBD","down","down"
"66","HK3","down","down"
"68","IFI30","down","down"
"70","IL1RL1","down","down"
"71","IL1RN","down","down"
"72","IL21R","down","down"
"74","ITGAM","down","down"
"75","JAZF1","down","down"
"76","KCNH2","down","down"
"77","KEL","down","down"
"78","LAPTM5","down","down"
"80","LGALS12","down","down"
"81","LGALS3","down","down"
"82","LMNA","down","down"
"83","LRG1","down","down"
"84","LRRC25","down","down"
"85","LTF","down","down"
"86","LYZ","down","down"
"87","MAFB","down","down"
"88","MAMDC2","up","up"
"89","MAMDC4","up","up"
"90","MCEMP1","down","down"
"91","MMP8","down","down"
"93","MTSS1","down","down"
"95","MYCL","down","down"
"97","MYL4","down","down"
"98","NAPSB","down","down"
"99","NCF1B","down","down"
"100","NCF2","down","down"
"101","NDFIP2","down","down"
"102","NTN1","up","up"
"103","NUAK2","down","down"
"104","OSBP2","down","down"
"105","OSCAR","down","down"
"106","P2RY6","down","down"
"107","PADI2","down","down"
"108","PBK","down","down"
"109","PDE4A","down","down"
"110","PF4V1","down","down"
"111","PLEKHF2","down","down"
"114","PTPRJ","down","down"
"115","QPCT","down","down"
"116","RAB30","down","down"
"117","RBM38","down","down"
"118","RBPMS2","down","down"
"119","RET","down","down"
"120","RETN","down","down"
"121","RGCC","down","down"
"122","RGS2","down","down"
"123","RHAG","down","down"
"126","S100A12","down","down"
"127","S100A6","down","down"
"128","S100A8","down","down"
"129","S100A9","down","down"
"130","S100P","down","down"
"131","SERPINA1","down","down"
"133","SH3BP5","down","down"
"134","SHANK3","up","up"
"135","SKIL","down","down"
"136","SLAMF7","down","down"
"137","SLC11A1","down","down"
"140","SLFN14","down","down"
"141","SMPDL3A","down","down"
"142","SRGN","down","down"
"145","STX11","down","down"
"149","TACSTD2","down","down"
"152","THBS1","down","down"
"153","TIAF1","up","up"
"154","TLR7","down","down"
"155","TLR8","down","down"
"156","TMCC2","down","down"
"157","TMOD1","down","down"
"158","TNFRSF19","down","down"
"160","TREML1","down","down"
"161","TRIB2","down","down"
"162","TRIM66","up","up"
"164","UBASH3A","down","down"
"165","UGCG","down","down"
"166","UTS2","down","down"
"167","VASP","down","down"
"168","VSTM1","down","down"
"169","WIPI1","down","down"
"171","ZNF703","down","down"
